player,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Aaron Mooy,MF,Australia,32-087,1990,4.0,170,217,78.3,2819,951,78,90,86.7,59,73,80.8,18,31,58.1,0,0.1,0.1,-0.1,1,22,1,0,14
Aaron Ramsey,MF,Wales,31-350,1990,3.0,88,112,78.6,1796,339,37,41,90.2,27,35,77.1,18,23,78.3,0,0.0,0.1,0.0,1,7,1,0,5
Abdelhamid Sabiri,MF,Morocco,26-013,1996,1.5,36,48,75.0,568,108,23,26,88.5,6,11,54.5,6,9,66.7,1,0.9,0.1,+0.1,3,1,0,0,0
Abdelkarim Hassan,DF,Qatar,29-105,1993,3.0,122,161,75.8,2462,813,57,63,90.5,44,51,86.3,20,37,54.1,0,0.0,0.1,0.0,1,13,1,0,8
Abderrazak Hamdallah,FW,Morocco,31-359,1990,0.5,6,9,66.7,42,11,5,5,100.0,0,3,0.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Abdessamad Ezzalzouli,FW,Morocco,20-359,2001,0.9,6,9,66.7,65,38,5,6,83.3,1,1,100.0,0,2,0.0,0,0.1,0.1,-0.1,1,0,0,0,2
Abdou Diallo,DF,Senegal,26-221,1996,3.7,139,186,74.7,2852,1121,42,51,82.4,71,79,89.9,22,47,46.8,0,0.1,0.0,-0.1,1,10,1,1,8
Abdul Fatawu Issahaku,FW,Ghana,18-278,2004,0.0,1,1,100.0,48,36,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-044,1990,2.2,72,91,79.1,973,231,46,53,86.8,17,22,77.3,4,6,66.7,0,0.0,0.0,0.0,1,3,0,0,1
Abdulelah Al-Amri,DF,Saudi Arabia,25-330,1997,2.0,74,104,71.2,1677,951,26,35,74.3,26,33,78.8,22,34,64.7,0,0.0,0.0,0.0,0,13,1,0,11
Abdulellah Al-Malki,MF,Saudi Arabia,28-061,1994,1.9,66,84,78.6,1057,288,30,32,93.8,31,42,73.8,4,7,57.1,0,0.0,0.0,0.0,0,3,0,0,3
Abdullah Madu,DF,Saudi Arabia,29-149,1993,0.5,5,13,38.5,89,64,2,3,66.7,2,6,33.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-193,1995,0.4,8,13,61.5,79,19,5,5,100.0,2,5,40.0,0,0,,0,0.0,0.0,0.0,1,0,1,0,1
Abolfazl Jalali,DF,IR Iran,24-168,1998,0.2,20,29,69.0,311,51,9,9,100.0,11,14,78.6,0,4,0.0,0,0.0,0.0,0.0,0,1,0,0,3
Achraf Dari,DF,Morocco,23-219,1999,0.4,4,7,57.1,137,108,1,2,50.0,1,2,50.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,0
Achraf Hakimi,DF,Morocco,24-037,1998,5.0,191,240,79.6,2549,1209,129,145,89.0,38,49,77.6,12,22,54.5,1,0.3,0.4,+0.7,3,9,4,3,7
Adrien Rabiot,MF,France,27-252,1995,4.3,196,231,84.8,3221,735,106,118,89.8,70,78,89.7,17,22,77.3,1,0.9,0.5,+0.1,3,31,0,0,12
Agustín Canobbio,MF,Uruguay,24-071,1998,0.1,5,7,71.4,66,38,3,4,75.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
Ahmad Nourollahi,MF,IR Iran,29-312,1993,2.5,35,54,64.8,519,150,16,21,76.2,13,21,61.9,2,6,33.3,0,0.0,0.0,0.0,0,3,0,0,3
Ahmed Alaaeldin,FW,Qatar,29-314,1993,0.1,0,2,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-317,1997,3.0,48,77,62.3,1544,1175,9,9,100.0,18,18,100.0,21,50,42.0,0,0.0,0.0,0.0,0,0,0,0,0
Ajdin Hrustic,MF,Australia,26-159,1996,0.7,17,21,81.0,263,42,10,11,90.9,4,5,80.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,1
Akram Afif,FW,Qatar,26-023,1996,3.0,139,165,84.2,2502,645,45,50,90.0,60,66,90.9,21,28,75.0,0,0.3,0.3,-0.3,5,10,4,1,7
Alan Franco,MF,Ecuador,24-112,1998,0.5,10,11,90.9,114,59,8,8,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Alejandro Balde,DF,Spain,19-054,2003,1.4,112,123,91.1,1890,293,49,56,87.5,55,57,96.5,7,9,77.8,0,0.0,0.2,0.0,0,5,2,0,4
Aleksandar Mitrović,FW,Serbia,28-086,1994,2.9,54,69,78.3,799,106,29,34,85.3,17,22,77.3,3,4,75.0,0,0.7,0.1,-0.7,2,5,1,0,2
Alex Sandro,DF,Brazil,31-319,1991,2.1,150,169,88.8,2171,680,89,93,95.7,53,61,86.9,5,11,45.5,0,0.1,0.2,-0.1,1,11,2,1,11
Alex Telles,DF,Brazil,29-361,1992,0.7,33,42,78.6,507,135,15,17,88.2,15,18,83.3,1,5,20.0,0,0.0,0.0,0.0,0,3,0,0,2
Alexander Bah,DF,Denmark,25-002,1997,0.5,37,53,69.8,580,150,15,18,83.3,19,23,82.6,1,9,11.1,0,0.1,0.1,-0.1,1,0,3,1,2
Alexander Djiku,DF,Ghana,28-124,1994,1.1,22,28,78.6,381,180,7,7,100.0,12,14,85.7,2,6,33.3,0,0.0,0.0,0.0,0,1,0,0,1
Alexis Mac Allister,MF,Argentina,23-352,1998,3.9,160,176,90.9,2306,325,102,111,91.9,48,51,94.1,6,8,75.0,0,0.4,0.3,-0.4,5,10,4,0,14
Alexis Vega,FW,Mexico,25-016,1997,2.1,40,56,71.4,658,208,23,26,88.5,12,18,66.7,4,8,50.0,0,0.1,0.1,-0.1,1,3,0,0,4
Ali Abdi,DF,Tunisia,28-356,1993,2.1,72,116,62.1,1451,630,25,31,80.6,38,57,66.7,9,22,40.9,0,0.0,0.1,0.0,1,4,2,0,6
Ali Al Hassan,MF,Saudi Arabia,25-282,1997,0.5,4,7,57.1,56,15,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1
Ali Al-Bulaihi,DF,Saudi Arabia,33-020,1989,2.4,78,97,80.4,1353,379,31,36,86.1,39,45,86.7,6,13,46.2,0,0.0,0.0,0.0,0,2,0,0,5
Ali Assadalla,MF,Qatar,29-326,1993,0.3,21,23,91.3,242,39,14,14,100.0,5,7,71.4,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Ali Gholizadeh,MF,IR Iran,26-276,1996,2.2,46,72,63.9,637,262,30,39,76.9,13,20,65.0,2,9,22.2,1,0.2,0.7,+0.8,2,4,4,1,4
Ali Karimi,MF,IR Iran,28-303,1994,1.1,34,45,75.6,584,149,18,21,85.7,12,15,80.0,4,7,57.1,0,0.0,0.0,0.0,0,4,1,0,3
Ali Maâloul,DF,Tunisia,32-344,1990,1.0,39,63,61.9,733,412,19,22,86.4,13,18,72.2,6,19,31.6,0,0.0,0.1,0.0,0,4,2,1,4
Alidu Seidu,DF,Ghana,22-190,2000,1.7,59,78,75.6,791,246,43,47,91.5,12,17,70.6,2,8,25.0,0,0.0,0.0,0.0,0,3,1,1,1
Alireza Beiranvand,GK,IR Iran,30-081,1992,1.2,20,31,64.5,604,501,2,2,100.0,13,13,100.0,5,16,31.3,0,0.0,0.0,0.0,0,1,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-122,1993,0.7,11,17,64.7,160,54,4,5,80.0,6,9,66.7,0,0,,0,0.0,0.0,0.0,0,1,1,0,2
Alisson,GK,Brazil,30-070,1992,4.2,80,93,86.0,1590,999,31,31,100.0,39,41,95.1,10,20,50.0,0,0.0,0.0,0.0,0,1,0,0,0
Alistair Johnston,DF,Canada,24-064,1998,3.0,147,186,79.0,2408,998,77,86,89.5,55,67,82.1,12,25,48.0,0,0.2,0.1,-0.2,3,9,3,1,10
Almoez Ali,FW,Qatar,26-114,1996,2.5,33,45,73.3,493,32,17,21,81.0,10,15,66.7,3,3,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Alphonso Davies,MF,Canada,22-039,2000,3.0,82,114,71.9,1212,231,46,53,86.8,32,39,82.1,2,9,22.2,0,0.5,0.2,-0.5,6,2,1,0,2
Amadou Onana,MF,Belgium,21-117,2001,1.2,58,64,90.6,998,220,27,28,96.4,27,29,93.1,4,6,66.7,0,0.0,0.0,0.0,0,3,0,0,1
Andre-Frank Zambo Anguissa,MF,Cameroon,27-025,1995,2.9,113,130,86.9,1720,560,63,67,94.0,45,51,88.2,3,5,60.0,1,0.0,0.1,+1.0,0,14,1,0,8
Andreas Christensen,DF,Denmark,26-245,1996,3.0,237,251,94.4,4457,1407,89,93,95.7,116,119,97.5,26,32,81.3,0,0.0,0.0,0.0,0,14,0,0,14
Andreas Cornelius,FW,Denmark,29-270,1993,1.0,21,34,61.8,206,14,13,16,81.3,5,13,38.5,0,0,,0,0.1,0.0,-0.1,3,0,0,0,1
Andreas Skov Olsen,FW,Denmark,22-347,1999,1.5,43,63,68.3,652,116,25,28,89.3,15,20,75.0,3,4,75.0,0,0.0,0.1,0.0,0,2,1,0,3
Andrej Kramarić,FW,Croatia,31-175,1991,3.8,108,124,87.1,1491,191,75,80,93.8,21,23,91.3,7,12,58.3,0,0.1,0.2,-0.1,2,0,2,1,2
Andries Noppert,GK,Netherlands,28-248,1994,5.3,157,192,81.8,3993,2923,29,29,100.0,81,81,100.0,47,81,58.0,0,0.0,0.0,0.0,0,0,0,0,0
Andrija Živković,DF,Serbia,26-153,1996,2.3,71,96,74.0,1121,362,31,32,96.9,31,40,77.5,5,17,29.4,2,1.1,0.8,+0.9,4,6,3,0,6
André Ayew,MF,Ghana,32-359,1989,2.2,30,37,81.1,411,47,18,22,81.8,9,11,81.8,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
André Onana,GK,Cameroon,26-253,1996,0.9,45,59,76.3,998,623,14,14,100.0,22,22,100.0,9,23,39.1,0,0.0,0.0,0.0,0,1,0,0,0
André Silva,FW,Portugal,27-035,1995,0.3,9,11,81.8,148,27,5,7,71.4,3,3,100.0,1,1,100.0,0,0.1,0.0,-0.1,2,1,0,0,1
Andrés Guardado,MF,Mexico,36-074,1986,0.5,11,16,68.8,190,15,5,5,100.0,5,7,71.4,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,0
Anis Ben Slimane,MF,Tunisia,21-270,2001,1.6,29,46,63.0,469,134,17,22,77.3,10,13,76.9,2,7,28.6,0,0.1,0.1,-0.1,2,1,0,0,0
Ansu Fati,FW,Spain,20-041,2002,0.5,25,29,86.2,298,29,20,22,90.9,4,4,100.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,1
Ante Budimir,FW,Croatia,31-142,1991,0.6,2,5,40.0,12,0,1,1,100.0,0,2,0.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0
Anthony Contreras,FW,Costa Rica,22-316,2000,1.4,15,26,57.7,193,13,10,15,66.7,4,5,80.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,1
Antoine Griezmann,MF,France,31-265,1991,4.2,211,266,79.3,4126,1131,97,105,92.4,75,91,82.4,36,57,63.2,3,2.6,2.9,+0.4,16,19,10,5,17
Antoine Semenyo,FW,Ghana,22-338,2000,0.2,1,2,50.0,15,0,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Antonee Robinson,DF,United States,25-125,1997,4.0,173,241,71.8,2891,1043,88,102,86.3,69,96,71.9,13,26,50.0,0,0.3,0.2,-0.3,3,12,3,0,10
Antonio Rüdiger,DF,Germany,29-283,1993,3.0,229,252,90.9,4005,1341,84,89,94.4,132,138,95.7,10,19,52.6,0,0.0,0.0,0.0,0,14,0,0,17
Antony,FW,Brazil,22-290,2000,1.9,86,109,78.9,1109,224,56,62,90.3,19,26,73.1,4,10,40.0,0,0.1,0.2,-0.1,3,2,2,0,5
António Silva,DF,Portugal,19-042,2003,1.0,60,62,96.8,1152,310,26,26,100.0,22,23,95.7,10,11,90.9,0,0.0,0.0,0.0,0,1,0,0,3
Ao Tanaka,MF,Japan,24-092,1998,1.9,48,69,69.6,846,220,17,26,65.4,24,31,77.4,5,10,50.0,0,0.1,0.4,-0.1,1,2,3,1,6
Ardon Jasari,FW,Switzerland,20-134,2002,0.0,5,6,83.3,63,11,3,3,100.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Arkadiusz Milik,FW,Poland,28-286,1994,1.1,19,29,65.5,245,19,8,10,80.0,9,10,90.0,0,3,0.0,0,0.1,0.0,-0.1,1,0,0,0,0
Artur Jędrzejczyk,DF,Poland,35-037,1987,0.2,3,4,75.0,88,44,1,1,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
Asiri Haitham,FW,Saudi Arabia,21-261,2001,0.0,1,2,50.0,11,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Assim Madibo,MF,Qatar,26-050,1996,1.7,58,70,82.9,850,334,32,36,88.9,18,22,81.8,4,5,80.0,0,0.0,0.0,0.0,1,7,0,0,5
Atiba Hutchinson,MF,Canada,39-306,1983,1.8,100,112,89.3,1399,519,57,63,90.5,34,35,97.1,3,4,75.0,0,0.0,0.0,0.0,0,12,0,0,13
Aurélien Tchouaméni,MF,France,22-318,2000,4.6,331,355,93.2,5847,1463,140,146,95.9,163,170,95.9,23,31,74.2,0,0.4,0.2,-0.4,4,37,1,0,27
Awer Mabil,MF,Australia,27-087,1995,0.3,10,14,71.4,143,0,7,9,77.8,3,3,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Axel Disasi,DF,France,24-275,1998,1.0,61,78,78.2,918,302,30,36,83.3,24,30,80.0,2,4,50.0,0,0.0,0.0,0.0,0,2,0,0,5
Axel Witsel,MF,Belgium,33-333,1989,3.0,169,177,95.5,2851,651,74,76,97.4,88,92,95.7,6,7,85.7,0,0.0,0.1,0.0,1,9,1,0,8
Ayase Ueda,FW,Japan,24-092,1998,0.5,7,12,58.3,89,11,5,8,62.5,2,4,50.0,0,0,,0,0.0,0.0,0.0,1,1,0,0,1
Aymeric Laporte,DF,Spain,28-198,1994,3.3,413,438,94.3,7612,2489,120,122,98.4,272,281,96.8,17,28,60.7,0,0.0,0.1,0.0,1,26,2,0,14
Aziz Behich,DF,Australia,31-360,1990,4.0,152,203,74.9,2271,527,81,91,89.0,58,70,82.9,6,27,22.2,0,0.0,0.0,0.0,0,6,2,0,4
Azzedine Ounahi,MF,Morocco,22-236,2000,4.9,126,162,77.8,1705,400,82,94,87.2,30,38,78.9,8,12,66.7,0,0.5,0.3,-0.5,5,7,5,0,8
Aïssa Laïdouni,MF,Tunisia,25-363,1996,2.7,99,123,80.5,1677,476,50,60,83.3,42,48,87.5,7,12,58.3,1,0.4,0.2,+0.6,4,16,0,0,8
Baba Rahman,DF,Ghana,28-162,1994,2.0,66,100,66.0,1097,546,38,48,79.2,20,27,74.1,8,18,44.4,0,0.3,0.1,-0.3,3,7,2,1,12
Badr Banoun,DF,Morocco,29-072,1993,0.3,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Bailey Wright,DF,Australia,30-136,1992,0.2,1,3,33.3,56,33,0,1,0.0,0,0,,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1
Bamba Dieng,FW,Senegal,22-263,2000,1.1,9,16,56.3,83,1,8,10,80.0,1,2,50.0,0,1,0.0,0,0.1,0.0,-0.1,2,1,0,0,0
Bartosz Bereszyński,DF,Poland,30-152,1992,3.8,122,156,78.2,1828,659,64,73,87.7,44,53,83.0,8,17,47.1,0,0.0,0.1,0.0,0,2,3,0,5
Bassam Al-Rawi,DF,Qatar,24-360,1997,1.0,47,57,82.5,1084,320,11,11,100.0,28,32,87.5,8,13,61.5,0,0.0,0.2,0.0,1,6,0,0,6
Ben Davies,DF,Wales,29-231,1993,2.6,122,161,75.8,2585,1096,42,50,84.0,56,67,83.6,22,34,64.7,0,0.0,0.0,0.0,0,10,0,0,12
Benjamin Pavard,DF,France,26-258,1996,1.0,82,90,91.1,1249,249,47,48,97.9,32,35,91.4,2,6,33.3,0,0.0,0.0,0.0,0,10,0,0,3
Bernardo Silva,MF,Portugal,28-123,1994,4.0,256,292,87.7,4147,777,143,153,93.5,87,92,94.6,20,30,66.7,0,0.4,0.3,-0.4,5,16,1,0,12
Borna Barišić,DF,Croatia,30-031,1992,1.3,50,69,72.5,818,290,23,26,88.5,19,27,70.4,5,11,45.5,0,0.1,0.2,-0.1,1,2,4,3,3
Borna Sosa,DF,Croatia,24-324,1998,4.2,195,245,79.6,2701,1050,129,139,92.8,53,71,74.6,8,20,40.0,0,0.4,0.5,-0.4,2,8,3,2,8
Boualem Khoukhi,DF,Qatar,32-155,1990,3.0,169,197,85.8,3293,1402,59,66,89.4,82,91,90.1,25,35,71.4,0,0.0,0.2,0.0,0,2,0,0,4
Boulaye Dia,FW,Senegal,26-025,1996,3.5,39,53,73.6,471,53,27,33,81.8,9,10,90.0,1,1,100.0,0,0.0,0.1,0.0,1,1,2,0,3
Brandon Aguilera,MF,Costa Rica,19-166,2003,1.0,27,38,71.1,398,134,12,16,75.0,13,13,100.0,1,4,25.0,0,0.0,0.0,0.0,0,1,0,0,2
Breel Embolo,FW,Switzerland,25-300,1997,3.6,46,62,74.2,672,66,22,29,75.9,19,23,82.6,2,3,66.7,0,0.1,0.1,-0.1,2,0,1,0,3
Brenden Aaronson,MF,United States,22-050,2000,1.2,41,50,82.0,566,125,24,27,88.9,14,15,93.3,0,2,0.0,0,0.2,0.1,-0.2,3,3,3,0,5
Brennan Johnson,FW,Wales,21-202,2001,1.0,10,17,58.8,143,60,7,11,63.6,3,6,50.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,1
Bruno Fernandes,FW,Portugal,28-094,1994,4.0,188,233,80.7,3623,1060,101,109,92.7,49,56,87.5,34,54,63.0,3,1.7,1.2,+1.3,9,17,9,2,23
Bruno Guimarães,MF,Brazil,25-025,1997,0.8,43,54,79.6,663,251,23,25,92.0,13,16,81.3,5,7,71.4,0,0.0,0.3,0.0,0,3,0,0,4
Bruno Petković,FW,Croatia,28-086,1994,1.9,28,52,53.8,403,70,17,24,70.8,7,12,58.3,2,5,40.0,0,0.3,0.1,-0.3,4,4,0,0,3
Bryan Mbeumo,FW,Cameroon,23-126,1999,2.6,49,85,57.6,742,230,36,47,76.6,10,21,47.6,3,11,27.3,0,0.3,0.2,-0.3,5,4,2,0,4
Bryan Oviedo,DF,Costa Rica,32-296,1990,2.9,67,89,75.3,1012,339,37,45,82.2,28,32,87.5,1,3,33.3,0,0.0,0.0,0.0,0,1,1,0,3
Bryan Ruiz,MF,Costa Rica,37-115,1985,0.3,8,12,66.7,114,11,5,5,100.0,3,4,75.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Bukayo Saka,FW,England,21-097,2001,3.2,84,108,77.8,1281,279,46,59,78.0,31,35,88.6,4,6,66.7,0,0.7,0.6,-0.7,5,3,7,2,8
Callum Wilson,FW,England,30-287,1992,0.5,9,10,90.0,121,32,6,6,100.0,3,4,75.0,0,0,,1,0.9,0.4,+0.1,3,0,3,0,3
Cameron Carter-Vickers,DF,United States,24-345,1997,1.0,50,58,86.2,1029,356,14,16,87.5,29,34,85.3,6,7,85.7,0,0.0,0.0,0.0,0,4,0,0,2
Carlos Gruezo,MF,Ecuador,27-236,1995,0.5,15,15,100.0,311,108,4,4,100.0,9,9,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,1
Carlos Martínez,DF,Costa Rica,23-256,1999,0.5,10,15,66.7,196,109,5,7,71.4,3,6,50.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Carlos Soler,MF,Spain,25-343,1997,1.0,78,83,94.0,1300,278,38,39,97.4,30,31,96.8,8,9,88.9,0,0.2,0.1,-0.2,2,12,1,0,5
Casemiro,MF,Brazil,30-291,1992,4.3,208,251,82.9,3591,1065,90,107,84.1,95,104,91.3,17,27,63.0,0,0.1,0.4,-0.1,4,23,3,1,22
Celso Borges,MF,Costa Rica,34-198,1988,2.8,98,120,81.7,1587,676,48,56,85.7,38,45,84.4,7,11,63.6,0,0.0,0.0,0.0,1,11,0,0,8
Charles De Ketelaere,FW,Belgium,21-276,2001,0.2,3,4,75.0,33,11,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Charly Rodríguez,MF,Mexico,25-342,1997,0.4,21,30,70.0,436,153,8,10,80.0,9,13,69.2,4,5,80.0,0,0.0,0.0,0.0,0,2,0,0,4
Cheikhou Kouyaté,MF,Senegal,32-355,1989,0.8,19,23,82.6,269,46,12,14,85.7,3,3,100.0,1,2,50.0,0,0.0,0.0,0.0,1,1,0,0,1
Cho Guesung,FW,Korea Republic,24-320,1998,3.1,40,63,63.5,603,156,22,33,66.7,14,21,66.7,2,4,50.0,0,0.0,0.1,0.0,1,5,2,0,3
Cho Yumin,FW,Korea Republic,26-024,1996,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Chris Mepham,DF,Wales,25-036,1997,3.0,141,172,82.0,2686,890,44,47,93.6,85,98,86.7,10,22,45.5,0,0.2,0.2,-0.2,2,7,2,0,9
Christian Bassogog,MF,Cameroon,27-054,1995,0.3,5,9,55.6,67,3,2,3,66.7,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
Christian Eriksen,MF,Denmark,30-300,1992,3.0,188,230,81.7,3621,1062,87,96,90.6,63,68,92.6,33,55,60.0,0,0.4,0.4,-0.4,9,20,1,1,16
Christian Fassnacht,FW,Switzerland,29-030,1993,0.1,7,10,70.0,89,17,4,6,66.7,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Christian Nørgaard,MF,Denmark,28-276,1994,0.1,14,15,93.3,201,58,10,11,90.9,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,4,0,0,0
Christian Pulisic,FW,United States,24-084,1998,3.5,83,141,58.9,1442,404,39,49,79.6,32,47,68.1,9,32,28.1,2,0.9,1.1,+1.1,9,9,4,1,15
Christopher Wooh,DF,Cameroon,21-084,2001,1.0,25,31,80.6,522,119,6,7,85.7,16,16,100.0,3,8,37.5,0,0.0,0.0,0.0,0,0,0,0,1
Cody Gakpo,FW,Netherlands,23-218,1999,5.0,93,148,62.8,1261,499,56,67,83.6,20,35,57.1,7,29,24.1,0,0.6,0.7,-0.6,10,7,4,2,9
Collins Fai,DF,Cameroon,30-120,1992,3.0,99,146,67.8,1688,811,53,62,85.5,34,48,70.8,9,29,31.0,0,0.0,0.2,0.0,2,14,1,1,6
Connor Roberts,DF,Wales,27-079,1995,2.2,92,118,78.0,1928,686,25,31,80.6,52,62,83.9,15,21,71.4,0,0.4,0.2,-0.4,1,3,2,1,7
Craig Goodwin,MF,Australia,30-360,1991,2.6,58,95,61.1,955,348,29,37,78.4,17,29,58.6,8,18,44.4,1,0.6,0.3,+0.4,5,6,2,0,5
Cristian Romero,DF,Argentina,24-228,1998,3.7,249,272,91.5,3883,1316,134,143,93.7,100,107,93.5,12,17,70.6,0,0.0,0.0,0.0,0,11,0,0,8
