player,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Aaron Mooy,MF,Australia,32-087,1990,4.0,217,206,11,8,0,4,10,0,3,0,3,0,170,0,4
Aaron Ramsey,MF,Wales,31-350,1990,3.0,112,101,10,3,0,3,5,0,1,0,1,0,88,1,3
Abdelhamid Sabiri,MF,Morocco,26-013,1996,1.5,48,45,3,2,0,2,1,0,1,0,0,0,36,0,1
Abdelkarim Hassan,DF,Qatar,29-105,1993,3.0,161,148,13,11,0,10,6,2,0,0,0,0,122,0,8
Abderrazak Hamdallah,FW,Morocco,31-359,1990,0.5,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
Abdessamad Ezzalzouli,FW,Morocco,20-359,2001,0.9,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0
Abdou Diallo,DF,Senegal,26-221,1996,3.7,186,165,20,12,0,4,3,8,0,0,0,0,139,1,1
Abdul Fatawu Issahaku,FW,Ghana,18-278,2004,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Abdulaziz Hatem,MF,Qatar,32-044,1990,2.2,91,84,6,4,0,0,1,0,1,1,0,0,72,1,4
Abdulelah Al-Amri,DF,Saudi Arabia,25-330,1997,2.0,104,99,5,4,0,6,1,1,0,0,0,0,74,0,1
Abdulellah Al-Malki,MF,Saudi Arabia,28-061,1994,1.9,84,78,6,6,0,0,1,0,0,0,0,0,66,0,1
Abdullah Madu,DF,Saudi Arabia,29-149,1993,0.5,13,12,1,1,0,0,0,0,0,0,0,0,5,0,1
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-193,1995,0.4,13,13,0,0,0,0,2,0,0,0,0,0,8,0,2
Abolfazl Jalali,DF,IR Iran,24-168,1998,0.2,29,21,8,1,0,0,2,7,0,0,0,0,20,0,1
Achraf Dari,DF,Morocco,23-219,1999,0.4,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Achraf Hakimi,DF,Morocco,24-037,1998,5.0,240,186,53,6,1,2,7,47,0,0,0,0,191,1,4
Adrien Rabiot,MF,France,27-252,1995,4.3,231,228,2,0,0,1,6,2,0,0,0,0,196,1,4
Agustín Canobbio,MF,Uruguay,24-071,1998,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Ahmad Nourollahi,MF,IR Iran,29-312,1993,2.5,54,52,1,0,0,0,3,0,0,0,0,0,35,1,0
Ahmed Alaaeldin,FW,Qatar,29-314,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Aimen Dahmen,GK,Tunisia,25-317,1997,3.0,77,54,23,5,0,2,0,0,0,0,0,0,48,0,0
Ajdin Hrustic,MF,Australia,26-159,1996,0.7,21,19,2,1,0,1,1,1,0,0,0,0,17,0,0
Akram Afif,FW,Qatar,26-023,1996,3.0,165,142,22,8,1,2,13,2,6,4,1,0,139,1,4
Alan Franco,MF,Ecuador,24-112,1998,0.5,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Alejandro Balde,DF,Spain,19-054,2003,1.4,123,111,12,1,1,0,2,11,0,0,0,0,112,0,0
Aleksandar Mitrović,FW,Serbia,28-086,1994,2.9,69,57,11,0,0,2,1,0,0,0,0,0,54,1,1
Alex Sandro,DF,Brazil,31-319,1991,2.1,169,144,24,3,0,0,4,21,0,0,0,0,150,1,2
Alex Telles,DF,Brazil,29-361,1992,0.7,42,37,5,2,0,0,3,3,0,0,0,0,33,0,0
Alexander Bah,DF,Denmark,25-002,1997,0.5,53,46,7,0,0,0,4,7,0,0,0,0,37,0,1
Alexander Djiku,DF,Ghana,28-124,1994,1.1,28,27,1,1,0,0,0,0,0,0,0,0,22,0,0
Alexis Mac Allister,MF,Argentina,23-352,1998,3.9,176,176,0,0,0,1,1,0,0,0,0,0,160,0,1
Alexis Vega,FW,Mexico,25-016,1997,2.1,56,50,6,2,2,0,6,0,4,0,3,0,40,0,2
Ali Abdi,DF,Tunisia,28-356,1993,2.1,116,87,28,0,0,0,5,27,1,1,0,0,72,1,5
Ali Al Hassan,MF,Saudi Arabia,25-282,1997,0.5,7,6,1,1,0,0,1,0,0,0,0,0,4,0,1
Ali Al-Bulaihi,DF,Saudi Arabia,33-020,1989,2.4,97,87,10,4,0,1,0,6,0,0,0,0,78,0,0
Ali Assadalla,MF,Qatar,29-326,1993,0.3,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0
Ali Gholizadeh,MF,IR Iran,26-276,1996,2.2,72,66,6,0,1,2,4,3,3,2,0,0,46,0,2
Ali Karimi,MF,IR Iran,28-303,1994,1.1,45,44,1,1,0,0,2,0,0,0,0,0,34,0,2
Ali Maâloul,DF,Tunisia,32-344,1990,1.0,63,43,19,1,0,1,13,12,6,5,1,0,39,1,2
Alidu Seidu,DF,Ghana,22-190,2000,1.7,78,62,16,2,0,0,6,14,0,0,0,0,59,0,2
Alireza Beiranvand,GK,IR Iran,30-081,1992,1.2,31,22,9,0,0,0,0,0,0,0,0,0,20,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-122,1993,0.7,17,14,2,1,0,0,1,0,0,0,0,0,11,1,1
Alisson,GK,Brazil,30-070,1992,4.2,93,65,28,9,0,0,0,0,0,0,0,0,80,0,1
Alistair Johnston,DF,Canada,24-064,1998,3.0,186,145,41,6,0,1,8,35,0,0,0,0,147,0,3
Almoez Ali,FW,Qatar,26-114,1996,2.5,45,42,3,0,0,0,0,0,0,0,0,0,33,0,1
Alphonso Davies,MF,Canada,22-039,2000,3.0,114,84,27,5,1,1,10,15,5,3,1,0,82,3,5
Amadou Onana,MF,Belgium,21-117,2001,1.2,64,63,0,0,1,0,0,0,0,0,0,0,58,1,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-025,1995,2.9,130,127,3,2,0,0,2,1,0,0,0,0,113,0,1
Andreas Christensen,DF,Denmark,26-245,1996,3.0,251,249,2,2,0,0,0,0,0,0,0,0,237,0,0
Andreas Cornelius,FW,Denmark,29-270,1993,1.0,34,33,1,0,0,0,1,0,0,0,0,0,21,0,0
Andreas Skov Olsen,FW,Denmark,22-347,1999,1.5,63,58,5,0,0,1,4,4,1,0,0,0,43,0,7
Andrej Kramarić,FW,Croatia,31-175,1991,3.8,124,119,5,0,0,1,5,2,0,0,0,0,108,0,2
Andries Noppert,GK,Netherlands,28-248,1994,5.3,192,145,47,7,0,1,0,0,0,0,0,0,157,0,1
Andrija Živković,DF,Serbia,26-153,1996,2.3,96,78,17,1,2,0,8,16,0,0,0,0,71,1,2
André Ayew,MF,Ghana,32-359,1989,2.2,37,30,7,1,0,0,0,1,0,0,0,0,30,0,0
André Onana,GK,Cameroon,26-253,1996,0.9,59,44,15,6,0,0,0,0,0,0,0,0,45,0,0
André Silva,FW,Portugal,27-035,1995,0.3,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0
Andrés Guardado,MF,Mexico,36-074,1986,0.5,16,14,2,1,0,0,0,0,0,0,0,0,11,0,1
Anis Ben Slimane,MF,Tunisia,21-270,2001,1.6,46,37,8,0,0,0,8,2,6,2,3,1,29,1,2
Ansu Fati,FW,Spain,20-041,2002,0.5,29,28,1,0,0,0,1,0,1,0,0,0,25,0,1
Ante Budimir,FW,Croatia,31-142,1991,0.6,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1
Anthony Contreras,FW,Costa Rica,22-316,2000,1.4,26,23,3,0,0,0,1,1,0,0,0,0,15,0,2
Antoine Griezmann,MF,France,31-265,1991,4.2,266,226,38,13,3,5,31,0,24,10,10,0,211,2,3
Antoine Semenyo,FW,Ghana,22-338,2000,0.2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Antonee Robinson,DF,United States,25-125,1997,4.0,241,205,36,4,0,1,21,32,0,0,0,0,173,0,7
Antonio Rüdiger,DF,Germany,29-283,1993,3.0,252,242,9,6,0,2,0,2,0,0,0,0,229,1,1
Antony,FW,Brazil,22-290,2000,1.9,109,100,9,1,0,0,10,0,8,4,0,0,86,0,1
António Silva,DF,Portugal,19-042,2003,1.0,62,60,2,2,0,2,0,0,0,0,0,0,60,0,0
Ao Tanaka,MF,Japan,24-092,1998,1.9,69,66,3,1,0,0,2,0,0,0,0,0,48,0,0
Ardon Jasari,FW,Switzerland,20-134,2002,0.0,6,6,0,0,0,0,0,0,0,0,0,0,5,0,0
Arkadiusz Milik,FW,Poland,28-286,1994,1.1,29,29,0,0,0,1,0,0,0,0,0,0,19,0,3
Artur Jędrzejczyk,DF,Poland,35-037,1987,0.2,4,3,1,0,0,0,0,1,0,0,0,0,3,0,0
Asiri Haitham,FW,Saudi Arabia,21-261,2001,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0
Assim Madibo,MF,Qatar,26-050,1996,1.7,70,67,3,3,0,0,0,0,0,0,0,0,58,0,1
Atiba Hutchinson,MF,Canada,39-306,1983,1.8,112,108,4,4,0,0,0,0,0,0,0,0,100,0,3
Aurélien Tchouaméni,MF,France,22-318,2000,4.6,355,349,5,5,0,2,3,0,0,0,0,0,331,1,0
Awer Mabil,MF,Australia,27-087,1995,0.3,14,13,1,0,0,1,0,1,0,0,0,0,10,0,1
Axel Disasi,DF,France,24-275,1998,1.0,78,61,17,1,0,0,2,16,0,0,0,0,61,0,1
Axel Witsel,MF,Belgium,33-333,1989,3.0,177,161,16,15,0,0,0,1,0,0,0,0,169,0,1
Ayase Ueda,FW,Japan,24-092,1998,0.5,12,12,0,0,1,0,0,0,0,0,0,0,7,0,0
Aymeric Laporte,DF,Spain,28-198,1994,3.3,438,424,14,9,0,3,0,3,0,0,0,0,413,0,2
Aziz Behich,DF,Australia,31-360,1990,4.0,203,156,47,3,0,0,5,44,0,0,0,0,152,0,5
Azzedine Ounahi,MF,Morocco,22-236,2000,4.9,162,158,2,2,1,1,2,0,0,0,0,0,126,2,5
Aïssa Laïdouni,MF,Tunisia,25-363,1996,2.7,123,118,5,3,0,1,3,2,0,0,0,0,99,0,3
Baba Rahman,DF,Ghana,28-162,1994,2.0,100,75,24,1,0,0,11,20,3,0,3,0,66,1,3
Badr Banoun,DF,Morocco,29-072,1993,0.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bailey Wright,DF,Australia,30-136,1992,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
Bamba Dieng,FW,Senegal,22-263,2000,1.1,16,15,1,0,0,0,1,0,0,0,0,0,9,0,1
Bartosz Bereszyński,DF,Poland,30-152,1992,3.8,156,112,44,5,0,0,4,39,0,0,0,0,122,0,6
Bassam Al-Rawi,DF,Qatar,24-360,1997,1.0,57,53,4,4,1,2,0,0,0,0,0,0,47,0,1
Ben Davies,DF,Wales,29-231,1993,2.6,161,135,25,8,0,5,0,17,0,0,0,0,122,1,7
Benjamin Pavard,DF,France,26-258,1996,1.0,90,84,6,1,0,1,1,5,0,0,0,0,82,0,0
Bernardo Silva,MF,Portugal,28-123,1994,4.0,292,274,17,10,0,2,5,2,5,0,0,0,256,1,8
Borna Barišić,DF,Croatia,30-031,1992,1.3,69,56,13,2,0,0,11,11,0,0,0,0,50,0,0
Borna Sosa,DF,Croatia,24-324,1998,4.2,245,204,40,2,0,1,18,38,0,0,0,0,195,1,4
Boualem Khoukhi,DF,Qatar,32-155,1990,3.0,197,184,12,10,0,1,0,1,0,0,0,0,169,1,1
Boulaye Dia,FW,Senegal,26-025,1996,3.5,53,51,1,0,0,0,1,0,0,0,0,0,39,1,2
Brandon Aguilera,MF,Costa Rica,19-166,2003,1.0,38,35,2,2,0,1,1,0,0,0,0,0,27,1,2
Breel Embolo,FW,Switzerland,25-300,1997,3.6,62,53,8,0,0,0,0,0,0,0,0,0,46,1,2
Brenden Aaronson,MF,United States,22-050,2000,1.2,50,46,4,0,0,0,3,1,3,2,1,0,41,0,3
Brennan Johnson,FW,Wales,21-202,2001,1.0,17,16,1,0,0,0,1,1,0,0,0,0,10,0,1
Bruno Fernandes,FW,Portugal,28-094,1994,4.0,233,200,33,11,3,17,26,6,16,2,9,0,188,0,7
Bruno Guimarães,MF,Brazil,25-025,1997,0.8,54,51,2,1,0,0,3,0,1,1,0,0,43,1,2
Bruno Petković,FW,Croatia,28-086,1994,1.9,52,49,2,0,0,2,1,0,0,0,0,0,28,1,3
Bryan Mbeumo,FW,Cameroon,23-126,1999,2.6,85,74,11,5,0,0,12,0,6,3,2,0,49,0,3
Bryan Oviedo,DF,Costa Rica,32-296,1990,2.9,89,77,10,1,0,0,2,9,0,0,0,0,67,2,5
Bryan Ruiz,MF,Costa Rica,37-115,1985,0.3,12,9,1,0,0,0,0,0,0,0,0,0,8,2,0
Bukayo Saka,FW,England,21-097,2001,3.2,108,103,5,1,0,1,5,2,0,0,0,0,84,0,4
Callum Wilson,FW,England,30-287,1992,0.5,10,9,1,0,0,0,0,0,0,0,0,0,9,0,0
Cameron Carter-Vickers,DF,United States,24-345,1997,1.0,58,54,4,4,0,1,0,0,0,0,0,0,50,0,0
Carlos Gruezo,MF,Ecuador,27-236,1995,0.5,15,15,0,0,0,0,0,0,0,0,0,0,15,0,0
Carlos Martínez,DF,Costa Rica,23-256,1999,0.5,15,9,6,1,0,0,0,5,0,0,0,0,10,0,0
Carlos Soler,MF,Spain,25-343,1997,1.0,83,78,4,1,0,1,3,1,2,1,1,0,78,1,1
Casemiro,MF,Brazil,30-291,1992,4.3,251,246,4,4,1,3,2,0,0,0,0,0,208,1,3
Celso Borges,MF,Costa Rica,34-198,1988,2.8,120,111,7,7,1,3,2,0,0,0,0,0,98,2,1
Charles De Ketelaere,FW,Belgium,21-276,2001,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Charly Rodríguez,MF,Mexico,25-342,1997,0.4,30,29,0,0,1,1,1,0,0,0,0,0,21,1,1
Cheikhou Kouyaté,MF,Senegal,32-355,1989,0.8,23,22,1,0,0,0,2,0,0,0,0,0,19,0,1
Cho Guesung,FW,Korea Republic,24-320,1998,3.1,63,56,7,0,0,0,1,0,0,0,0,0,40,0,0
Cho Yumin,FW,Korea Republic,26-024,1996,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Mepham,DF,Wales,25-036,1997,3.0,172,167,5,3,0,0,0,2,0,0,0,0,141,0,0
Christian Bassogog,MF,Cameroon,27-054,1995,0.3,9,9,0,0,0,0,2,0,0,0,0,0,5,0,3
Christian Eriksen,MF,Denmark,30-300,1992,3.0,230,196,32,10,0,3,30,2,20,3,9,8,188,2,2
Christian Fassnacht,FW,Switzerland,29-030,1993,0.1,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0
Christian Nørgaard,MF,Denmark,28-276,1994,0.1,15,15,0,0,0,0,0,0,0,0,0,0,14,0,0
Christian Pulisic,FW,United States,24-084,1998,3.5,141,118,23,4,2,0,31,0,19,12,5,1,83,0,7
Christopher Wooh,DF,Cameroon,21-084,2001,1.0,31,27,4,4,0,0,0,0,0,0,0,0,25,0,0
Cody Gakpo,FW,Netherlands,23-218,1999,5.0,148,120,27,7,1,0,33,4,16,6,8,0,93,1,5
Collins Fai,DF,Cameroon,30-120,1992,3.0,146,118,28,4,1,1,13,24,0,0,0,0,99,0,4
Connor Roberts,DF,Wales,27-079,1995,2.2,118,99,19,0,0,0,7,19,0,0,0,0,92,0,3
Craig Goodwin,MF,Australia,30-360,1991,2.6,95,84,11,3,0,0,18,4,4,3,1,0,58,0,4
Cristian Romero,DF,Argentina,24-228,1998,3.7,272,265,7,6,0,0,0,1,0,0,0,0,249,0,0
Cristiano Ronaldo,FW,Portugal,37-309,1985,3.2,90,82,8,1,0,0,2,2,0,0,0,0,68,0,3
Cyle Larin,FW,Canada,27-238,1995,1.5,29,29,0,0,0,0,3,0,0,0,0,0,21,0,3
César Azpilicueta,DF,Spain,33-105,1989,1.5,181,162,18,7,1,0,3,11,0,0,0,0,171,1,1
César Montes,DF,Mexico,25-290,1997,3.0,197,192,3,2,0,3,0,1,0,0,0,0,159,2,3
Daichi Kamada,FW,Japan,26-128,1996,3.6,104,92,12,2,0,2,5,1,6,2,3,0,83,0,2
Daizen Maeda,FW,Japan,25-052,1997,2.0,17,15,2,0,0,0,0,0,0,0,0,0,8,0,0
Daley Blind,DF,Netherlands,32-277,1990,4.7,300,266,34,4,0,2,6,29,1,0,0,0,252,0,1
Damian Szymański,MF,Poland,27-178,1995,0.3,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Dani Alves,DF,Brazil,39-219,1983,1.3,97,82,15,4,0,0,6,11,0,0,0,0,83,0,0
Dani Carvajal,DF,Spain,30-334,1992,1.5,135,109,26,7,0,0,0,19,0,0,0,0,121,0,4
Dani Olmo,FW,Spain,24-218,1998,4.1,198,180,17,3,3,1,10,0,14,1,3,0,162,1,6
Daniel Amartey,DF,Ghana,27-355,1994,2.8,141,136,5,5,0,1,0,0,0,0,0,0,128,0,3
Daniel Chacón,MF,Costa Rica,21-244,2001,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Daniel James,FW,Wales,25-031,1997,1.7,36,32,3,0,0,0,4,1,1,0,0,0,24,1,0
Daniel Kyereh,MF,Ghana,26-278,1996,0.4,23,19,4,1,0,0,5,0,3,2,1,0,18,0,0
Danilo,DF,Brazil,31-149,1991,3.1,269,245,23,2,0,2,8,21,0,0,0,0,230,1,2
Danilo Pereira,DF,Portugal,31-093,1991,1.0,78,76,2,2,0,1,0,0,0,0,0,0,68,0,1
Danny Ward,GK,Wales,29-172,1993,1.0,39,25,14,5,0,0,0,0,0,0,0,0,24,0,0
Darko Lazović,DF,Serbia,32-087,1990,0.3,12,12,0,0,0,0,1,0,0,0,0,0,7,0,1
Darwin Núñez,FW,Uruguay,23-170,1999,2.7,56,53,3,0,0,0,4,1,0,0,0,0,35,0,1
David Raum,DF,Germany,24-233,1998,2.7,195,153,40,8,0,1,24,25,7,0,7,0,153,2,3
David Wotherspoon,MF,Canada,32-329,1990,0.2,7,7,0,0,0,0,1,0,0,0,0,0,4,0,0
Davy Klaassen,MF,Netherlands,29-293,1993,2.1,77,77,0,0,1,0,2,0,0,0,0,0,59,0,1
Dayot Upamecano,DF,France,24-045,1998,4.0,283,279,4,3,0,5,0,1,0,0,0,0,259,0,3
DeAndre Yedlin,DF,United States,29-155,1993,0.4,28,23,5,0,0,0,4,5,0,0,0,0,19,0,0
Declan Rice,MF,England,23-331,1999,4.6,322,320,2,2,0,3,4,0,0,0,0,0,300,0,4
Dejan Lovren,DF,Croatia,33-159,1989,5.7,385,373,11,10,0,7,3,1,0,0,0,0,339,1,4
Denis Odoi,DF,Ghana,34-198,1988,0.1,2,1,1,0,0,0,0,1,0,0,0,0,2,0,0
Denis Zakaria,MF,Switzerland,26-021,1996,0.7,23,21,2,2,0,0,0,0,0,0,0,0,20,0,0
Denzel Dumfries,DF,Netherlands,26-237,1996,5.3,217,167,50,0,0,0,8,50,0,0,0,0,149,0,8
Devis Epassy,GK,Cameroon,29-312,1993,2.0,83,51,32,7,0,1,0,0,0,0,0,0,57,0,0
Diego Godín,DF,Uruguay,36-298,1986,1.7,103,101,2,2,0,0,0,0,0,0,0,0,87,0,0
Diogo Costa,GK,Portugal,23-083,1999,5.0,160,117,41,6,0,0,0,0,0,0,0,0,113,2,1
Diogo Dalot,DF,Portugal,23-268,1999,2.9,147,127,19,1,0,2,9,18,0,0,0,0,112,1,2
Djibril Sow,MF,Switzerland,25-308,1997,2.9,97,94,3,1,0,0,1,0,0,0,0,0,84,0,1
Djorkaeff Reasco,FW,Ecuador,23-327,1999,0.3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Dominik Livaković,GK,Croatia,27-336,1995,5.7,164,121,43,9,0,0,0,0,0,0,0,0,137,0,1
Dries Mertens,MF,Belgium,35-219,1987,0.8,33,30,3,0,0,0,5,0,3,2,1,0,22,0,1
Dušan Tadić,MF,Serbia,34-021,1988,2.9,127,108,17,7,2,1,17,1,9,4,5,0,90,2,3
Dušan Vlahović,FW,Serbia,22-317,2000,0.9,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0
Dylan Bronn,DF,Tunisia,27-175,1995,1.8,98,89,8,3,1,1,0,5,0,0,0,0,75,1,2
Eden Hazard,MF,Belgium,31-338,1991,1.4,58,58,0,0,1,0,1,0,0,0,0,0,46,0,2
Ederson,GK,Brazil,29-116,1993,1.0,31,25,6,0,0,0,0,0,0,0,0,0,28,0,0
Edimilson Fernandes,FW,Switzerland,26-240,1996,1.6,82,68,14,1,0,0,5,13,0,0,0,0,65,0,2
Edinson Cavani,FW,Uruguay,35-300,1987,1.4,37,36,1,0,0,0,0,0,1,0,0,0,27,0,2
Edouard Mendy,GK,Senegal,30-285,1992,4.0,120,83,37,11,0,2,0,0,0,0,0,0,88,0,0
Edson Álvarez,MF,Mexico,25-048,1997,1.9,114,111,3,3,1,0,0,0,0,0,0,0,86,0,1
Eduardo Camavinga,DF,France,20-031,2002,1.0,78,67,11,2,0,0,2,9,0,0,0,0,67,0,3
Ehsan Hajsafi,MF,IR Iran,32-289,1990,2.6,98,82,16,6,1,1,11,7,3,0,3,0,61,0,3
Ellyes Skhiri,MF,Tunisia,27-215,1995,3.0,127,122,5,3,0,1,2,1,0,0,0,0,109,0,1
Emiliano Martínez,GK,Argentina,30-100,1992,5.3,131,98,32,8,0,0,0,0,0,0,0,0,92,1,1
Enner Valencia,FW,Ecuador,33-037,1989,2.8,57,54,3,0,0,0,3,1,0,0,0,0,40,0,5
Enzo Ebosse,DF,Cameroon,23-275,1999,1.0,38,33,5,4,0,0,0,1,0,0,0,0,34,0,1
Enzo Fernández,MF,Argentina,21-328,2001,3.9,332,322,10,9,1,1,2,1,0,0,0,0,293,0,4
Eray Cömert,DF,Switzerland,24-310,1998,0.5,42,41,1,1,0,0,0,0,0,0,0,0,38,0,0
Eric Dier,DF,England,28-330,1994,0.4,41,40,1,1,0,0,0,0,0,0,0,0,40,0,0
Eric Maxim Choupo-Moting,FW,Cameroon,33-263,1989,2.8,66,59,7,0,0,0,0,0,0,0,0,0,44,0,1
Erick Gutiérrez,MF,Mexico,27-179,1995,0.5,29,28,1,1,0,0,0,0,0,0,0,0,24,0,0
Ethan Ampadu,MF,Wales,22-088,2000,2.8,144,134,9,4,1,2,2,5,0,0,0,0,108,1,5
Everton Ribeiro,MF,Brazil,33-245,1989,0.4,18,17,1,0,0,0,2,0,1,0,1,0,15,0,0
Exequiel Palacios,MF,Argentina,24-067,1998,0.4,13,11,1,1,0,0,0,0,0,0,0,0,11,1,0
Fabian Frei,MF,Switzerland,33-337,1989,0.3,14,14,0,0,0,0,0,0,0,0,0,0,9,0,0
Fabian Rieder,FW,Switzerland,20-298,2002,0.8,26,24,2,0,0,1,1,0,2,0,1,0,13,0,0
Fabian Schär,DF,Switzerland,30-356,1991,1.5,82,74,8,8,0,4,0,0,0,0,0,0,65,0,0
Fabinho,MF,Brazil,29-049,1993,1.0,57,54,3,3,0,0,0,0,0,0,0,0,51,0,1
Facundo Pellistri,MF,Uruguay,20-356,2001,2.0,46,46,0,0,0,0,3,0,0,0,0,0,32,0,3
Famara Diedhiou,FW,Senegal,29-361,1992,1.0,14,14,0,0,0,0,0,0,0,0,0,0,10,0,2
Federico Valverde,MF,Uruguay,24-142,1998,3.0,189,175,13,8,1,3,7,1,4,0,3,0,159,1,1
Ferjani Sassi,MF,Tunisia,30-268,1992,0.5,34,33,0,0,0,0,0,0,0,0,0,0,25,1,0
Ferrán Torres,FW,Spain,22-285,2000,2.4,85,85,0,0,0,0,9,0,0,0,0,0,59,0,7
Filip Kostić,DF,Serbia,30-040,1992,2.0,113,89,24,2,1,0,16,22,0,0,0,0,72,0,5
Filip Mladenović,DF,Serbia,31-118,1991,0.7,25,18,7,0,0,0,1,7,0,0,0,0,20,0,1
Filip Đuričić,MF,Serbia,30-315,1992,0.2,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0
Firas Al-Buraikan,MF,Saudi Arabia,22-211,2000,3.0,63,62,0,0,0,0,2,0,0,0,0,0,42,1,7
Fodé Ballo-Touré,DF,Senegal,25-342,1997,0.1,8,7,1,0,0,0,2,1,0,0,0,0,5,0,1
Fran Karačić,DF,Australia,26-213,1996,1.0,54,43,11,0,0,0,5,11,0,0,0,0,33,0,1
Francisco Calvo,DF,Costa Rica,30-156,1992,2.0,104,93,11,4,0,3,0,6,0,0,0,0,86,0,0
Fred,MF,Brazil,29-281,1993,1.6,83,80,3,2,0,0,0,1,0,0,0,0,71,0,1
Frenkie de Jong,MF,Netherlands,25-213,1997,5.3,364,357,7,4,0,2,3,3,0,0,0,0,323,0,4
Félix Torres Caicedo,DF,Ecuador,25-334,1997,3.0,208,196,10,10,0,1,0,0,0,0,0,0,168,2,3
Gabriel Jesus,FW,Brazil,25-252,1997,1.0,28,26,2,0,0,0,1,1,0,0,0,0,22,0,2
Garang Kuol,FW,Australia,18-087,2004,0.4,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0
Gareth Bale,FW,Wales,33-148,1989,2.5,53,49,4,0,0,3,2,2,0,0,0,0,33,0,2
Gavi,MF,Spain,18-128,2004,3.2,154,146,8,3,0,0,4,0,0,0,0,0,133,0,5
Gaël Ondoua,MF,Cameroon,27-037,1995,0.5,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0
Georges-Kévin N'Koudou,FW,Cameroon,27-301,1995,0.3,12,11,1,0,0,1,2,0,1,0,0,0,9,0,2
Germán Pezzella,DF,Argentina,31-167,1991,0.6,44,42,1,1,0,0,0,0,0,0,0,0,41,1,0
Gerson Torres,MF,Costa Rica,25-105,1997,0.7,16,14,2,2,0,0,0,0,0,0,0,0,16,0,0
Ghaylène Chaalali,MF,Tunisia,28-286,1994,0.2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
Gideon Mensah,DF,Ghana,24-146,1998,1.0,46,39,7,1,0,1,1,6,0,0,0,0,36,0,0
