player,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Gio Reyna,FW,United States,20-028,2002,0.6,38,34,3,0,0,1,2,2,0,0,0,0,26,1,1
Giorgian De Arrascaeta,MF,Uruguay,28-193,1994,1.2,52,47,5,2,2,0,6,1,2,1,1,0,32,0,4
Gleison Bremer,DF,Brazil,25-268,1997,1.2,84,81,2,0,0,0,0,2,0,0,0,0,78,1,0
Gonzalo Montiel,DF,Argentina,25-344,1997,1.0,69,58,11,0,0,0,2,11,0,0,0,0,62,0,2
Gonzalo Plata,MF,Ecuador,22-040,2000,3.0,104,87,17,4,0,0,17,3,6,6,0,0,77,0,1
Gonçalo Ramos,FW,Portugal,21-174,2001,1.7,31,29,2,0,0,0,0,0,0,0,0,0,25,0,1
Granit Xhaka,MF,Switzerland,30-075,1992,4.0,243,230,13,11,0,1,0,1,1,0,0,0,215,0,1
Gregor Kobel,GK,Switzerland,25-005,1997,1.0,29,18,11,3,0,0,0,0,0,0,0,0,21,0,0
Grzegorz Krychowiak,MF,Poland,32-316,1990,3.7,127,123,4,4,0,3,1,0,0,0,0,0,93,0,3
Guido Rodríguez,MF,Argentina,28-243,1994,0.6,64,62,2,2,0,1,0,0,0,0,0,0,54,0,0
Guillermo Ochoa,GK,Mexico,37-151,1985,3.0,109,75,32,6,0,0,0,0,0,0,0,0,93,2,0
Guillermo Varela,DF,Uruguay,29-262,1993,2.0,92,72,20,2,0,1,7,18,0,0,0,0,62,0,2
Haji Wright,FW,United States,24-259,1998,1.5,27,24,3,0,0,0,1,0,0,0,0,0,20,0,1
Hakim Ziyech,FW,Morocco,29-267,1993,5.1,173,146,24,13,0,9,18,6,5,2,1,0,111,3,7
Hannibal Mejbri,MF,Tunisia,19-324,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0
Haris Seferović,FW,Switzerland,30-292,1992,0.8,14,11,2,0,0,0,0,0,0,0,0,0,10,1,0
Harry Kane,FW,England,29-136,1993,4.5,98,94,3,0,2,1,6,1,0,0,0,0,62,1,5
Harry Maguire,DF,England,29-281,1993,4.8,407,391,16,16,0,5,1,0,0,0,0,0,354,0,3
Harry Souttar,DF,Australia,24-050,1998,4.0,167,163,4,4,0,2,0,0,0,0,0,0,138,0,1
Harry Wilson,MF,Wales,25-264,1997,1.8,64,56,8,4,1,1,9,0,4,4,0,0,48,0,1
Hassan Al Tambakti,DF,Saudi Arabia,23-305,1999,2.0,55,49,6,6,0,1,0,0,0,0,0,0,40,0,1
Hassan Al-Haydos,MF,Qatar,32-000,1990,2.3,80,75,5,2,0,2,4,1,2,2,0,0,65,0,3
Hattan Bahebri,MF,Saudi Arabia,30-148,1992,0.0,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Henry Martín,FW,Mexico,30-023,1992,1.6,20,16,2,0,0,0,0,0,0,0,0,0,13,2,0
Hernán Galíndez,GK,Ecuador,35-256,1987,3.0,74,46,28,7,0,0,0,0,0,0,0,0,44,0,0
Hidemasa Morita,MF,Japan,27-215,1995,3.2,157,154,3,2,1,1,3,1,0,0,0,0,129,0,1
Hiroki Ito,DF,Japan,23-213,1999,0.5,63,61,2,0,0,1,0,2,0,0,0,0,58,0,0
Hiroki Sakai,MF,Japan,32-243,1990,1.3,47,32,14,1,0,0,2,13,0,0,0,0,28,1,1
Hirving Lozano,FW,Mexico,27-134,1995,2.8,77,69,7,5,3,0,24,2,0,0,0,0,42,1,7
Homam Ahmed,DF,Qatar,23-108,1999,2.9,105,81,23,1,0,2,5,22,0,0,0,0,77,1,6
Hong Chul,DF,Korea Republic,32-085,1990,0.5,20,18,2,0,0,2,2,2,0,0,0,0,17,0,0
Hossein Hosseini,GK,IR Iran,30-164,1992,1.8,47,30,15,4,0,0,0,0,0,0,0,0,23,2,0
Hossein Kanaanizadegan,DF,IR Iran,28-263,1994,0.5,11,10,1,0,0,0,0,1,0,0,0,0,8,0,0
Hugo Lloris,GK,France,35-350,1986,4.0,113,70,42,7,0,0,0,0,0,0,0,0,71,1,0
Hwang Hee-chan,MF,Korea Republic,26-319,1996,1.3,59,56,2,0,0,0,3,2,0,0,0,0,45,1,4
Hwang In-beom,MF,Korea Republic,26-082,1996,3.7,247,242,5,5,0,8,6,0,0,0,0,0,194,0,2
Hwang Ui-jo,FW,Korea Republic,30-105,1992,1.2,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0
Héctor Herrera,MF,Mexico,32-236,1990,1.8,78,76,2,2,0,2,4,0,0,0,0,0,64,0,3
Héctor Moreno,DF,Mexico,34-328,1988,3.0,195,179,16,15,0,2,0,1,0,0,0,0,165,0,0
Ibrahima Konaté,DF,France,23-200,1999,2.2,185,177,8,7,0,1,0,1,0,0,0,0,170,0,0
Idrissa Gana Gueye,MF,Senegal,33-076,1989,3.0,133,113,17,4,0,0,15,2,7,4,2,0,107,3,2
Iliman Ndiaye,FW,Senegal,22-280,2000,1.5,32,29,3,0,0,0,2,1,0,0,0,0,25,0,0
Ismail Jakobs,DF,Senegal,23-116,1999,3.1,156,115,41,7,0,0,18,29,5,3,2,0,107,0,0
Ismail Mohamad,FW,Qatar,32-250,1990,1.9,,,,,,,8,,,,,,,,
Ismaila Sarr,FW,Senegal,24-289,1998,3.8,81,78,3,0,1,0,8,3,0,0,0,0,52,0,2
Ismaël Koné,MF,Canada,20-188,2002,1.2,101,99,2,2,0,4,1,0,0,0,0,0,96,0,1
Issam Jebali,FW,Tunisia,30-351,1991,2.0,35,30,4,0,0,0,2,1,0,0,0,0,25,1,2
Ivan Ilić,MF,Serbia,21-269,2001,0.4,20,19,1,1,0,0,0,0,0,0,0,0,19,0,0
Ivan Perišić,FW,Croatia,33-312,1989,5.4,188,169,18,0,1,2,18,17,1,0,0,0,124,1,7
Iñaki Williams,FW,Ghana,28-179,1994,3.0,42,41,1,0,0,0,1,0,0,0,0,0,29,0,3
Jack Grealish,FW,England,27-092,1995,1.0,54,53,1,1,0,0,0,0,0,0,0,0,48,0,3
Jackson Irvine,MF,Australia,29-279,1993,3.9,128,121,7,2,0,1,2,1,0,0,0,0,103,0,4
Jackson Porozo,DF,Ecuador,22-129,2000,1.1,44,43,1,0,1,0,0,1,0,0,0,0,39,0,0
Jakub Kamiński,MF,Poland,20-189,2002,2.6,61,59,2,0,0,0,4,2,0,0,0,0,37,0,3
Jakub Kiwior,DF,Poland,22-299,2000,3.9,205,193,12,5,0,3,0,0,0,0,0,0,174,0,2
Jamal Musiala,MF,Germany,19-288,2003,2.9,105,104,0,0,2,0,1,0,0,0,0,0,85,1,2
Jamie Maclaren,FW,Australia,29-135,1993,0.6,15,15,0,0,0,0,2,0,0,0,0,0,7,0,0
Jan Bednarek,DF,Poland,26-243,1996,0.1,6,6,0,0,0,0,0,0,0,0,0,0,6,0,0
Jan Vertonghen,DF,Belgium,35-231,1987,3.0,269,263,6,5,0,2,0,1,0,0,0,0,238,0,4
Jason Cummings,FW,Australia,27-132,1995,0.4,6,4,2,0,0,0,0,0,0,0,0,0,4,0,1
Jawad El Yamiq,DF,Morocco,30-285,1992,1.7,34,31,3,3,0,2,0,0,0,0,0,0,25,0,1
Jean-Charles Castelletto,DF,Cameroon,27-319,1995,2.0,82,77,5,5,1,2,3,0,0,0,0,0,66,0,0
Jeong Woo-yeong,MF,Korea Republic,23-082,1999,0.5,15,13,1,0,0,0,1,0,0,0,0,0,12,1,0
Jeremy Doku,MF,Belgium,20-198,2002,0.2,14,14,0,0,0,0,3,0,0,0,0,0,8,0,2
Jeremy Sarmiento,MF,Ecuador,20-178,2002,0.9,37,33,4,0,0,0,5,2,2,1,1,0,23,0,2
Jerome Ngom Mbekeli,MF,Cameroon,24-072,1998,0.1,2,2,0,0,0,0,2,0,0,0,0,0,1,0,0
Jesper Lindstrøm,MF,Denmark,22-285,2000,2.2,52,49,2,0,0,0,3,2,0,0,0,0,36,1,2
Jesús Ferreira,FW,United States,21-352,2000,0.5,19,18,1,0,0,0,0,0,0,0,0,0,16,0,1
Jesús Gallardo,DF,Mexico,28-118,1994,3.0,134,109,22,4,0,0,9,18,0,0,0,0,93,3,4
Jewison Bennette,MF,Costa Rica,18-179,2004,1.1,14,14,0,0,0,0,2,0,0,0,0,0,11,0,1
Jhegson Méndez,MF,Ecuador,25-229,1997,2.0,140,135,4,4,1,0,2,0,0,0,0,0,128,1,2
Joachim Andersen,DF,Denmark,26-194,1996,3.0,250,246,3,3,0,8,1,0,0,0,0,0,198,1,2
Joakim Mæhle,DF,Denmark,25-205,1997,2.8,146,120,26,1,0,0,4,25,0,0,0,0,119,0,2
Joe Allen,MF,Wales,32-272,1990,1.0,36,34,2,2,0,0,0,0,0,0,0,0,30,0,1
Joe Morrell,MF,Wales,25-342,1997,0.4,14,14,0,0,0,0,0,0,0,0,0,0,12,0,0
Joe Rodon,DF,Wales,25-050,1997,3.0,169,167,2,2,0,0,0,0,0,0,0,0,152,0,0
Joel Campbell,FW,Costa Rica,30-168,1992,3.0,138,116,19,6,0,5,7,2,1,1,0,0,104,3,4
Johan Venegas,FW,Costa Rica,34-014,1988,0.8,14,13,1,0,0,0,1,0,0,0,0,0,11,0,0
John Stones,DF,England,28-197,1994,4.8,454,451,3,2,0,3,0,1,0,0,0,0,435,0,0
Jonas Hofmann,FW,Germany,30-150,1992,0.3,20,19,1,0,0,0,0,1,0,0,0,0,16,0,1
Jonathan David,FW,Canada,22-331,2000,2.1,60,53,6,0,0,0,0,0,0,0,0,0,41,1,3
Jonathan Osorio,MF,Canada,30-182,1992,1.3,57,55,2,0,0,0,0,2,0,0,0,0,52,0,0
Jordan Ayew,FW,Ghana,31-091,1991,1.5,46,34,12,2,0,0,8,2,6,6,0,0,35,0,2
Jordan Henderson,MF,England,32-177,1990,3.0,163,153,10,8,1,0,8,2,0,0,0,0,137,0,3
Jordan Morris,FW,United States,28-046,1994,0.0,4,4,0,0,0,0,2,0,0,0,0,0,1,0,1
Jordan Pickford,GK,England,28-279,1994,5.0,160,120,39,3,0,0,0,0,0,0,0,0,126,1,1
Jordan Veretout,MF,France,29-285,1993,0.7,36,35,1,1,0,0,0,0,0,0,0,0,33,0,1
Jordi Alba,DF,Spain,33-265,1989,2.9,372,330,40,6,2,0,14,34,0,0,0,0,328,2,6
Jorge Eduardo Sánchez,DF,Mexico,25-001,1997,1.9,87,62,25,0,0,0,2,25,0,0,0,0,69,0,2
Josh Sargent,FW,United States,22-294,2000,1.7,33,31,2,0,0,0,1,0,0,0,0,0,29,0,1
Joshua Kimmich,MF,Germany,27-306,1995,3.0,267,234,31,7,1,2,21,4,18,8,7,2,226,2,2
Josip Juranović,DF,Croatia,27-117,1995,5.7,340,282,57,2,0,1,20,55,0,0,0,0,268,1,11
José Cifuentes,MF,Ecuador,23-274,1999,0.7,44,42,2,0,1,0,2,2,0,0,0,0,33,0,2
José María Giménez,DF,Uruguay,27-325,1995,3.0,174,165,8,7,1,1,2,1,0,0,0,0,141,1,0
João Cancelo,DF,Portugal,28-198,1994,3.4,271,240,31,4,0,8,15,27,0,0,0,0,221,0,5
João Félix,FW,Portugal,23-031,1999,3.7,122,119,2,0,1,0,4,2,0,0,0,0,92,1,3
João Mário,FW,Portugal,29-326,1993,0.9,40,37,2,0,0,0,2,0,2,1,1,0,37,1,0
João Palhinha,MF,Portugal,27-155,1995,0.4,31,30,1,1,0,0,0,0,0,0,0,0,26,0,0
Joško Gvardiol,DF,Croatia,20-322,2002,5.7,389,376,11,10,2,3,1,1,0,0,0,0,344,2,0
Juan Pablo Vargas,DF,Costa Rica,27-188,1995,1.0,24,18,6,1,0,0,0,5,0,0,0,0,19,0,0
Jude Bellingham,MF,England,19-165,2003,4.6,265,258,6,2,1,3,4,1,0,0,0,0,235,1,5
Jules Koundé,DF,France,24-029,1998,3.0,194,162,30,0,0,0,1,30,0,0,0,0,157,2,3
Julián Álvarez,FW,Argentina,22-314,2000,3.2,73,72,1,0,1,0,3,1,0,0,0,0,53,0,3
Jung Woo-young,MF,Korea Republic,32-362,1989,3.4,211,208,1,1,0,5,1,0,0,0,0,0,178,2,3
Junior Hoilett,FW,Canada,32-189,1990,1.8,59,50,8,0,0,0,13,1,5,1,4,0,43,1,2
Junya Ito,MF,Japan,29-277,1993,3.6,97,80,15,1,0,0,14,9,5,0,3,0,59,2,4
Jurriën Timber,DF,Netherlands,21-177,2001,4.3,313,301,11,7,2,0,1,4,0,0,0,0,283,1,0
Kai Havertz,FW,Germany,23-183,1999,1.1,34,32,2,0,0,0,2,0,0,0,0,0,27,0,1
Kalidou Koulibaly,DF,Senegal,31-174,1991,4.0,205,185,20,18,0,4,0,0,0,0,0,0,156,0,3
Kalvin Phillips,MF,England,27-009,1995,0.5,19,19,0,0,0,0,0,0,0,0,0,0,17,0,0
Kamal Miller,DF,Canada,25-209,1997,3.0,205,194,9,5,0,0,0,4,0,0,0,0,186,2,1
Kamaldeen Sulemana,FW,Ghana,20-299,2002,0.6,19,19,0,0,0,0,4,0,0,0,0,0,10,0,3
Kamil Glik,DF,Poland,34-311,1988,4.0,130,125,5,4,0,0,0,0,0,0,0,0,118,0,0
Kamil Grosicki,MF,Poland,34-186,1988,0.0,6,6,0,0,0,0,3,0,0,0,0,0,4,0,0
Kaoru Mitoma,MF,Japan,25-205,1997,1.8,70,57,13,0,0,0,0,13,0,0,0,0,50,0,2
Karim Ansarifard,FW,IR Iran,32-252,1990,0.4,5,5,0,0,0,0,0,0,0,0,0,0,4,0,0
Karim Boudiaf,MF,Qatar,32-086,1990,2.1,106,103,3,3,0,2,0,0,0,0,0,0,94,0,0
Karl Toko Ekambi,FW,Cameroon,30-088,1992,1.8,53,50,3,1,0,1,3,0,2,0,2,0,43,0,2
Karol Świderski,FW,Poland,25-322,1997,0.5,7,6,1,0,0,0,0,0,0,0,0,0,7,0,0
Kasper Dolberg,FW,Denmark,25-066,1997,1.3,18,15,3,0,0,0,1,0,0,0,0,0,15,0,0
Kasper Schmeichel,GK,Denmark,36-036,1986,3.0,87,69,18,1,0,0,0,1,0,0,0,0,72,0,0
Keanu Baccus,MF,Australia,24-187,1998,1.3,41,41,0,0,1,1,0,0,0,0,0,0,26,0,1
Kellyn Acosta,MF,United States,27-140,1995,0.5,12,12,0,0,0,0,0,0,0,0,0,0,10,0,0
Kendall Waston,DF,Costa Rica,34-344,1988,2.5,71,69,2,2,0,0,0,0,0,0,0,0,57,0,0
Kenneth Taylor,MF,Netherlands,20-209,2002,0.1,8,8,0,0,0,0,0,0,0,0,0,0,8,0,0
Kevin De Bruyne,FW,Belgium,31-166,1991,3.0,136,118,17,5,4,2,18,5,7,0,6,0,93,1,8
Kevin Rodríguez,FW,Ecuador,22-282,2000,0.0,,,,,,,0,,,,,,,,
Kevin Álvarez,DF,Mexico,23-330,1999,0.8,29,20,9,0,0,0,1,9,0,0,0,0,19,0,1
Keylor Navas,GK,Costa Rica,35-361,1986,3.0,102,60,41,8,0,0,0,0,0,0,0,0,61,1,0
Keysher Fuller,DF,Costa Rica,28-153,1994,2.8,63,55,8,1,0,0,2,7,0,0,0,0,44,0,2
Kieffer Moore,FW,Wales,30-125,1992,2.5,56,56,0,0,0,1,0,0,0,0,0,0,36,0,2
Kieran Trippier,DF,England,32-083,1990,2.3,195,156,39,9,0,1,10,22,8,2,6,0,165,0,3
Kim Jin-su,DF,Korea Republic,30-181,1992,3.5,146,115,31,1,0,0,16,30,0,0,0,0,105,0,4
Kim Min-jae,DF,Korea Republic,26-026,1996,3.0,191,190,0,0,0,6,1,0,0,0,0,0,167,1,2
Kim Moonhwan,DF,Korea Republic,27-132,1995,4.0,242,197,45,2,0,0,15,43,0,0,0,0,201,0,4
Kim Seung-gyu,GK,Korea Republic,32-072,1990,4.0,128,85,43,14,0,0,0,0,0,0,0,0,93,0,0
Kim Young-gwon,DF,Korea Republic,32-287,1990,3.9,209,201,7,7,0,7,1,0,0,0,0,0,178,1,0
Kingsley Coman,FW,France,26-181,1996,1.3,57,55,2,0,0,0,6,0,2,0,2,0,50,0,1
Ko Itakura,DF,Japan,25-318,1997,3.0,111,109,2,2,1,0,0,0,0,0,0,0,98,0,1
Koke,MF,Spain,30-337,1992,0.6,62,60,0,0,0,2,0,0,0,0,0,0,56,2,0
Krystian Bielik,MF,Poland,24-341,1998,2.4,99,96,3,3,0,3,0,0,0,0,0,0,86,0,2
Krzysztof Piątek,FW,Poland,27-163,1995,0.3,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0
Krépin Diatta,FW,Senegal,23-289,1999,2.0,73,71,1,0,0,1,4,0,1,0,1,0,60,1,0
Kudus Mohammed,FW,Ghana,22-131,2000,2.7,87,78,8,4,1,1,6,1,1,1,0,0,62,1,3
Kwon Chang-hoon,FW,Korea Republic,28-164,1994,0.6,25,24,1,0,0,0,3,0,1,0,0,0,19,0,2
Kwon Kyung-won,DF,Korea Republic,30-314,1992,1.0,43,41,2,2,0,0,0,0,0,0,0,0,39,0,0
Kye Rowles,DF,Australia,24-170,1998,4.0,187,180,6,5,0,1,0,0,0,0,0,0,165,1,3
Kyle Walker,DF,England,32-197,1990,2.6,181,154,27,6,0,4,2,21,0,0,0,0,162,0,0
Kylian Mbappé,FW,France,23-356,1998,4.3,188,179,9,1,3,2,22,3,5,3,0,0,144,0,11
Lautaro Martínez,FW,Argentina,25-111,1997,2.5,55,47,8,0,0,0,0,0,0,0,0,0,41,0,0
Lawrence Ati-Zigi,GK,Ghana,26-012,1996,3.0,78,39,39,8,0,0,0,0,0,0,0,0,54,0,0
Leander Dendoncker,DF,Belgium,27-240,1995,1.8,122,119,3,2,0,0,0,1,0,0,0,0,119,0,0
Leandro Paredes,MF,Argentina,28-165,1994,1.6,191,181,9,9,0,1,0,0,0,0,0,0,178,1,0
Leandro Trossard,FW,Belgium,28-007,1994,1.1,57,56,1,0,0,1,2,1,0,0,0,0,43,0,2
Lee Jae-sung,MF,Korea Republic,30-123,1992,2.3,97,97,0,0,0,0,1,0,0,0,0,0,84,0,2
Lee Kangin,MF,Korea Republic,21-295,2001,1.6,77,66,11,5,0,1,12,0,5,3,2,0,62,0,1
Leon Goretzka,MF,Germany,27-308,1995,1.8,57,55,0,0,0,0,1,0,0,0,0,0,42,2,1
Leroy Sané,FW,Germany,26-334,1996,1.2,58,58,0,0,1,0,2,0,0,0,0,0,47,0,0
Liam Millar,DF,Canada,23-075,1999,0.1,9,7,2,0,0,0,2,1,1,1,0,0,4,0,0
Lionel Messi,FW,Argentina,35-170,1987,5.3,269,235,31,16,3,3,12,0,12,2,7,0,218,3,10
Lisandro Martínez,DF,Argentina,24-327,1998,3.0,147,137,9,8,0,1,1,1,0,0,0,0,125,1,0
Lovro Majer,MF,Croatia,24-328,1998,0.6,49,49,0,0,0,0,3,0,0,0,0,0,41,0,1
Loïs Openda,FW,Belgium,22-298,2000,0.1,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0
Lucas Cavallini,FW,Canada,29-348,1992,0.2,2,2,0,0,0,0,1,0,0,0,0,0,2,0,0
Lucas Hernández,DF,France,26-300,1996,0.1,10,10,0,0,0,0,1,0,0,0,0,0,5,0,0
Lucas Paquetá,MF,Brazil,25-106,1997,3.5,202,193,8,2,0,0,4,6,0,0,0,0,169,1,4
Luis Chávez,MF,Mexico,26-330,1996,3.0,139,118,20,8,2,5,19,0,12,6,5,0,99,1,1
Luis Suárez,FW,Uruguay,35-321,1987,1.6,40,37,3,0,0,1,0,0,0,0,0,0,25,0,3
Luka Jović,FW,Serbia,24-353,1997,0.4,10,9,1,0,0,0,0,1,0,0,0,0,6,0,0
Luka Modrić,MF,Croatia,37-093,1985,5.4,402,366,35,21,0,5,28,0,13,4,5,0,336,1,6
Lukas Klostermann,DF,Germany,26-191,1996,0.7,52,42,10,2,0,1,0,8,0,0,0,0,51,0,0
Luke Shaw,DF,England,27-152,1995,4.7,400,347,52,15,0,1,22,33,4,1,3,0,335,1,8
Luuk de Jong,FW,Netherlands,32-106,1990,0.6,12,10,2,0,0,0,0,0,0,0,0,0,8,0,1
Majid Hosseini,DF,IR Iran,26-174,1996,3.0,106,100,6,4,0,2,0,1,0,0,0,0,86,0,1
Manuel Akanji,DF,Switzerland,27-145,1995,4.0,259,246,12,9,0,6,1,1,0,0,0,0,229,1,1
Manuel Neuer,GK,Germany,36-259,1986,3.0,127,111,16,2,0,0,0,0,0,0,0,0,115,0,0
Marcelo Brozović,MF,Croatia,30-025,1992,5.6,480,463,16,16,1,2,3,0,0,0,0,0,419,1,12
Marco Asensio,FW,Spain,26-324,1996,2.5,119,113,5,2,0,2,8,1,2,0,0,0,89,1,2
Marcos Acuña,DF,Argentina,31-044,1991,3.5,189,157,31,4,0,2,13,23,4,0,4,0,148,1,6
Marcos Llorente,DF,Spain,27-315,1995,1.3,106,89,16,3,0,0,2,13,0,0,0,0,95,1,2
Marcus Rashford,FW,England,25-041,1997,1.6,66,65,1,0,0,1,1,1,0,0,0,0,49,0,2
Marcus Thuram,FW,France,25-127,1997,0.5,11,10,1,0,0,0,0,0,0,0,0,0,9,0,0
Mario Götze,MF,Germany,30-191,1992,0.4,23,23,0,0,0,0,2,0,0,0,0,0,21,0,2
Mario Pašalić,FW,Croatia,27-305,1995,2.2,72,72,0,0,1,0,1,0,0,0,0,0,60,0,2
Mark-Anthony Kaye,MF,Canada,28-009,1994,0.7,61,59,2,1,0,0,0,1,0,0,0,0,51,0,0
Marko Grujić,MF,Serbia,26-242,1996,0.1,17,16,1,0,0,0,0,1,0,0,0,0,14,0,0
Marko Livaja,FW,Croatia,29-107,1993,1.7,39,36,3,0,1,0,1,0,0,0,0,0,22,0,2
Marquinhos,DF,Brazil,28-211,1994,4.7,367,354,12,10,0,3,1,2,0,0,0,0,351,1,1
Marten de Roon,MF,Netherlands,31-257,1991,2.0,119,115,3,2,0,0,0,1,0,0,0,0,97,1,1
Martin Braithwaite,FW,Denmark,31-189,1991,1.1,20,19,1,0,0,1,0,0,0,0,0,0,14,0,4
Martin Hongla,MF,Cameroon,24-270,1998,1.3,61,60,1,0,1,0,1,1,0,0,0,0,49,0,1
Martinelli,FW,Brazil,21-176,2001,1.3,45,41,4,0,0,0,5,4,0,0,0,0,34,0,0
Martín Cáceres,DF,Uruguay,35-248,1987,1.0,79,66,13,1,0,0,0,12,0,0,0,0,68,0,0
Mason Mount,MF,England,23-335,1999,2.1,73,70,3,2,0,3,3,0,0,0,0,0,61,0,1
Mateo Kovačić,MF,Croatia,28-219,1994,5.1,300,290,10,3,2,2,3,1,5,0,0,0,267,0,5
Matheus Nunes,MF,Portugal,24-106,1998,0.8,33,32,1,0,0,0,3,1,0,0,0,0,28,0,1
Mathew Leckie,MF,Australia,31-310,1991,3.7,103,101,2,0,0,0,4,2,0,0,0,0,67,0,8
Mathew Ryan,GK,Australia,30-247,1992,4.0,164,111,53,16,0,1,0,0,0,0,0,0,113,0,0
Mathias Jensen,MF,Denmark,26-344,1996,0.9,67,63,4,1,0,1,2,3,0,0,0,0,52,0,0
Mathías Olivera,DF,Uruguay,25-041,1997,2.8,133,107,26,1,0,0,6,25,0,0,0,0,104,0,5
Matt Turner,GK,United States,28-170,1994,4.0,128,98,30,10,0,0,0,0,0,0,0,0,101,0,0
Matthias Ginter,DF,Germany,28-326,1994,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
Matthijs de Ligt,DF,Netherlands,23-121,1999,1.0,45,43,2,2,0,1,0,0,0,0,0,0,41,0,0
Matty Cash,DF,Poland,25-126,1997,4.0,160,127,33,3,0,2,9,30,0,0,0,0,123,0,6
Mattéo Guendouzi,FW,France,23-241,1999,0.9,33,30,3,1,0,1,0,1,0,0,0,0,27,0,2
Matías Vecino,MF,Uruguay,31-109,1991,2.2,106,105,1,1,0,1,1,0,0,0,0,0,76,0,5
Matías Viña,DF,Uruguay,25-032,1997,0.2,21,17,4,1,0,1,2,3,0,0,0,0,11,0,2
Maxi Gómez,FW,Uruguay,26-119,1996,0.3,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Maya Yoshida,DF,Japan,34-109,1988,4.3,232,227,5,4,0,1,0,0,0,0,0,0,198,0,0
Mehdi Taremi,FW,IR Iran,30-146,1992,3.0,78,71,7,0,0,0,0,0,1,0,0,0,58,0,3
Mehdi Torabi,MF,IR Iran,28-092,1994,0.7,37,36,1,0,1,0,1,1,0,0,0,0,30,0,1
Memphis,FW,Netherlands,28-301,1994,3.3,123,113,8,0,1,1,2,1,0,0,0,0,93,2,5
Meshaal Barsham,GK,Qatar,24-300,1998,2.0,63,38,24,4,0,0,0,0,0,0,0,0,45,1,0
Michael Estrada,FW,Ecuador,26-248,1996,2.5,50,48,1,0,1,0,0,1,0,0,0,0,28,1,1
Michał Skóraś,MF,Poland,22-299,2000,0.5,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0
Michel Aebischer,MF,Switzerland,25-339,1997,0.2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0
Michy Batshuayi,FW,Belgium,29-070,1993,1.7,24,22,2,0,0,0,0,0,0,0,0,0,16,0,1
Miki Yamane,DF,Japan,28-354,1993,0.7,33,28,5,0,0,0,2,5,0,0,0,0,24,0,2
Mikkel Damsgaard,MF,Denmark,22-161,2000,1.7,72,72,0,0,0,1,3,0,0,0,0,0,55,0,0
Milad Mohammadi,DF,IR Iran,29-073,1993,2.2,68,56,12,0,0,1,2,12,0,0,0,0,44,0,4
Milan Borjan,GK,Canada,35-049,1987,3.0,98,72,25,10,0,1,0,0,0,0,0,0,76,1,0
Miloš Degenek,DF,Australia,28-227,1994,2.0,101,71,30,4,0,0,1,26,0,0,0,0,67,0,5
Miloš Veljković,DF,Serbia,27-076,1995,2.5,112,111,1,1,0,5,0,0,0,0,0,0,98,0,3
Mislav Oršić,FW,Croatia,29-347,1992,0.3,11,10,1,0,1,0,1,0,1,1,0,0,7,0,0
Mitchell Duke,FW,Australia,31-327,1991,3.0,63,60,3,0,0,0,1,0,0,0,0,0,36,0,2
